RSSD9001,RSSD9010,RSSD9348,RSSD9999
60554,FIRST ST BK MN,1128899,20200331
60648,FIRST NB,1137529,20200331
61122,FIRST UNITED B&TR,1132672,20200331
61355,CORTRUST BK NA,1125740,20200331
61476,ABINGTON BK,3728930,20200331
61757,AMERICAN HERITAGE NB,4520953,20200331
61832,FIRST NB OF MT DORA,5113763,20200331
61953,FNB COWETA,1063329,20200331
62044,SEBREE DEPOSIT BK,1134229,20200331
62110,ROCKEFELLER TC NA,0,20200331
62147,COMMUNITY FIRST BK,1210422,20200331
62772,FIRST ADVAN BK,3842126,20200331
63050,DOLORES ST BK,0,20200331
63069,CITY NB,1232497,20200331
63201,CAYUGA LAKE NB,1249075,20200331
63573,WALPOLE CO-OP BK,0,20200331
63733,CITIZENS BK,1140239,20200331
63742,HOMETOWN BK,2628453,20200331
63751,TOWANDA ST BK,0,20200331
64150,WYOMING B&TC,1061996,20200331
64217,SHANGHAI CMRL BK NY BR,0,20200331
64552,CHICKASAW CMNTY BK,3045721,20200331
64730,FARMERS & MRCH BK,1246252,20200331
65205,TORRINGTON SVG BK,0,20200331
65513,DELTA NB&TC,1135468,20200331
65559,PIONEER B&TC,1143511,20200331
65746,CITIZENS UNION BK,1097566,20200331
65812,SUMITOMO MITSUI BKG NY BR,0,20200331
65858,EMPRISE BK,1135824,20200331
66154,DECATUR CTY BK,2201883,20200331
66275,FIRST S BK,5141195,20200331
66677,CINCINNATI FED,4841564,20200331
67058,SOCIETE GENERALE DALLAS AGY,0,20200331
67142,PEOPLES T&SB,3199790,20200331
67151,KIRKPATRICK BK,1136269,20200331
67209,NEWBURYPORT FIVE CNT SVG BK,4267472,20200331
67254,YOUNG AMER BK,1840883,20200331
67656,FIRST SVG BK,4264387,20200331
67870,TC FED BK,0,20200331
68671,GRAND BK FOR SVG FSB,3842032,20200331
68756,LIBERTY NAT BK,1065172,20200331
68831,BANK OF FRANKLIN,3674215,20200331
69333,CITIZENS NB OF MERIDIAN,3186576,20200331
69678,BAKER BOYER NB,1141870,20200331
70058,FARMERS & MRCHS BK,1119516,20200331
70218,UNITED ORIENT BANK,0,20200331
70414,NORTHUMBERLAND NB,2575726,20200331
70638,PEOPLES BK,4189314,20200331
70955,NEBRASKA ST BK,0,20200331
71073,HOME FS&LA,3828634,20200331
71439,MIZUHO BK CHICAGO BR,0,20200331
71457,BRUNING BK,1840753,20200331
71859,CBW BK,3914872,20200331
72258,CONVERSE CTY BK,1059975,20200331
72351,FARMERS ST BK,1250688,20200331
72454,FREEPORT ST BK,1125795,20200331
72678,BELMONT SVG BK,0,20200331
73116,ARTISANS BK,0,20200331
73152,FARMERS & MRCH NB,1065211,20200331
73554,PATHWAY BK,3304361,20200331
73956,SECURITY ST BK,3044630,20200331
74056,SOUTH CENTRAL ST BK,1061857,20200331
74140,ISABELLA BK,1401118,20200331
74403,MERRIMACK CTY SVG BK,4436559,20200331
74449,FIRST NB IN TIGERTON,1204720,20200331
75259,FIRST OKLAHOMA BK,3957589,20200331
75446,SOUTH OTTUMWA SVG BK,1142372,20200331
75455,NORTHERN ST BK OF GONVICK,0,20200331
75558,DBA FIRST BK TX,1105751,20200331
75633,BMO HARRIS BK NA,1231333,20200331
75651,CERESCOBANK,2696984,20200331
76153,BANK OF CLARKS,1065266,20200331
76443,PEOPLES BK,1119253,20200331
76854,GRAND BK,1065967,20200331
77150,FIRST FARMERS & MRCH ST BK,1247576,20200331
77253,HONDO NB,3048991,20200331
77422,COMMUNITY BKR BK,3848632,20200331
77851,FIRST B&T,1123072,20200331
78157,BANDERA BK,1139671,20200331
78241,FIRST NATURALSTATE BK,3386880,20200331
78559,SUMMIT NB,3402511,20200331
79042,WEST POINT BK,1119404,20200331
79127,HOME NB,0,20200331
79145,FARMERS & MRCH ST BK,3087039,20200331
79257,FIRST ST BK OF GROVE CITY,5381601,20200331
79855,CITY B&TC,1141553,20200331
80150,FIRST FIDELITY BK,1121788,20200331
80374,FIRST FS&LA,4151919,20200331
80431,UNION B&TC,2854092,20200331
81175,EQUITABLE BK,4841041,20200331
82033,FIRST NB PASCO,2552400,20200331
82257,BRYANT ST BK,1127717,20200331
82350,LAUDERDALE CTY BK,2020691,20200331
82659,CITIZENS ST BK OF HAYFIELD,1992335,20200331
83151,FLAGSHIP BK MN,1128675,20200331
83236,BANK OF THE S,1129515,20200331
83375,CENTURY BK,3632756,20200331
83638,AMERANT BK NA,1135972,20200331
83834,AMERICAN B&TC,1085349,20200331
83852,RICHLAND ST BK,1127717,20200331
83955,GREENFIELD BKG CO,1247026,20200331
84046,FIRST T&SB,0,20200331
84541,GUARANTY B&TC,1096952,20200331
84804,CITIZENS BK,0,20200331
85052,UINTA BK,3272554,20200331
85454,BANK OF LAVERNE,1067251,20200331
85472,OCEANFIRST BK NA,2609975,20200331
85931,PATTERSON ST BK,3631469,20200331
86349,UNION BK OF MENA,1099805,20200331
86509,BANCO BRADESCO SA NY BR,0,20200331
86675,ROSEDALE FS&LA,0,20200331
87047,FIRST ST BK OF PORTER,0,20200331
87159,FIRST ST BK OF NEWCASTLE,1058615,20200331
87234,FIRST NB OF MIDDLE TN,1086449,20200331
87476,WILMINGTON SVG BK,0,20200331
87579,MIDDLESEX FED SVG FA,5399950,20200331
88231,BANKSOUTH,1134313,20200331
88259,JANESVILLE ST BK,1124284,20200331
88352,FIRST ST BK OF BEDIAS,3069482,20200331
88455,HEARTLAND BK,1834396,20200331
88950,FINANCIAL SECURITY BK,1124435,20200331
89032,PLAQUEMINE B&TC,1086355,20200331
89135,FIRST NB OF WAUCHULA,2376558,20200331
89854,MINNSTAR BK NA,1126747,20200331
89957,CENDERA BK NA,1104567,20200331
90047,PALO SVG BK,1201596,20200331
90177,FIRST FS&LA PASCAGOULA MOSS PO,0,20200331
90328,SKYLINE NB,4949303,20200331
90337,UNITED CMNTY BK,1977154,20200331
90579,FIRST FS&LA OF MCMINNVILLE,0,20200331
91615,ANTWERP EXCH BK CO,1129896,20200331
91754,FIRST NB,2112439,20200331
91950,FARMERS ST BK OF CANTON,1496244,20200331
92144,COMMUNITY ST BK,0,20200331
92676,WINDSOR FS&LA,3920118,20200331
92706,SUGAR RIVER BK,4191399,20200331
92902,BANK OF CATTARAUGUS,0,20200331
93244,WOODFORD ST BK,2961347,20200331
93543,SPRINGS VALLEY B&TC,1098385,20200331
93619,STATE STREET B&TC NA,1111435,20200331
94139,MERCHANTS & MARINE BK,3696093,20200331
94522,BENCHMARK CMNTY BK,1141441,20200331
94755,SUNDANCE ST BK,3157008,20200331
94858,ADRIAN BK,1399505,20200331
95051,ONE AMER BK,0,20200331
95677,ROCKLAND SVG BK FSB,0,20200331
95716,STATE BK OF INDIA NY BR,0,20200331
96218,SHOKO CHUKIN BK NY BR,0,20200331
96553,HERSHEY ST BK,5382251,20200331
97055,HENDERSON ST BK,1055847,20200331
97279,WOODSFIELD SVG BK,0,20200331
97457,CITIZENS BK,1064317,20200331
97804,MOUNTAINONE BK,2634212,20200331
97943,MARION CTY ST BK,1200245,20200331
98351,CITIZENS ST BK OF OURAY,4933302,20200331
98463,CITIZENS BK,2519038,20200331
98717,EASTBANK NA,2698906,20200331
99143,MERCHANTS & PLANTERS BK,3394429,20200331
99255,FIRST ST BK,0,20200331
99376,NATIONAL CO-OP BK NA,2398082,20200331
99442,BANK OF COMMERCE,2770660,20200331
99536,BANK OF PUTNAM CTY,1081613,20200331
99853,FIRST ST BK,1050178,20200331
100236,SUNMARK CMNTY BK,1143566,20200331
100357,LEGEND BK NA,1416578,20200331
100562,TRI CTY BK,1030170,20200331
100777,CFSBANK,3831269,20200331
100843,FNBC BK,1099690,20200331
101019,BANK LEUMI USA,1232536,20200331
101037,FIRST AMER B&TC,1083729,20200331
101439,DURDEN BKG CO,2388663,20200331
101671,ADIRONDACK BK,2467474,20200331
101738,GREAT SOUTHERN BK,1080568,20200331
101952,BRADY NB,1106990,20200331
102333,WILKINSON CTY BK,0,20200331
102342,RACCOON VALLEY BK,1205905,20200331
102539,COMMUNITY BKS SHELBY CTY,1204467,20200331
102557,FOUNDATION ONE BK,3822874,20200331
102874,PAPER CITY SA,0,20200331
103134,BANK OF CMRC,3135471,20200331
104234,HARRISON CTY BK,1249178,20200331
104542,MARSEILLES BK,1491780,20200331
104971,MARTINSVILLE FIRST SVG BK,0,20200331
105026,FARMERS BK OF WILLARDS,0,20200331
105473,HOME FED BK OF TN,0,20200331
105530,FARMERS ST BK,1997862,20200331
106359,FIRST FIDELITY BK,1064728,20200331
106452,PUEBLO B&TC,1022997,20200331
106676,BAR HARBOR S&LA,0,20200331
107244,BANK OZK,0,20200331
107459,CORDER BK,0,20200331
107570,FIRST FSB,2514136,20200331
107758,BONANZA VALLEY ST BK,0,20200331
108072,BUFFALO FED BK,3835100,20200331
108269,FIRST NB,3147353,20200331
108652,FIRST NB OF BUHL,3288911,20200331
108746,MASON CITY NB,1399019,20200331
108951,RELIABANK DAKOTA,1363980,20200331
109136,PEOPLES B&TC,3466504,20200331
109154,FIRST SECURITY BK,1129001,20200331
109453,BANKSTAR FINANCIAL,1943917,20200331
109565,MIZUHO BK LOS ANGELES BR,0,20200331
109574,HAVERHILL BK,0,20200331
109659,FIRST NB,1133400,20200331
110413,SUTTON BK,1134500,20200331
110936,BANCO DO BRASIL AMERS,1242076,20200331
110945,UNITED SOUTHERN BK,1140574,20200331
110972,FIRST FEDERAL SB,0,20200331
111157,BANK OF LINDSAY,1059537,20200331
111205,PARTNERS BK OF NEW ENGLAND,3815054,20200331
111942,FORTIFI BK,1889538,20200331
111979,SECURITY ST BK,2572024,20200331
112163,GUARANTY B&TC NA,1862036,20200331
112332,FIRST NB OF HARTFORD,1084052,20200331
112444,JACKSON CTY BK,1141218,20200331
112510,BALTIC ST BK,0,20200331
112556,STATE BK OF CHANDLER,1843688,20200331
112819,DEUTSCHE BK AG NY BR,0,20200331
112837,CAPITAL ONE NA,2277860,20200331
112967,MUFG BK LOS ANGELES BR,0,20200331
113003,STAFFORD SVG BK,0,20200331
113030,FARMERS ST BK,1080885,20200331
113311,DZ BK AG DEUTSCHE ZENTRA NY BR,0,20200331
113441,FARMERS ST BK,1245479,20200331
113601,BANK OF NEW ENGLAND,0,20200331
113740,FIRST ST BK,1204177,20200331
113937,MERCHANTS BK OF AL,1082955,20200331
114149,PARTNERS BK,1138713,20200331
114251,F&M BK MN,2466235,20200331
114260,FIRST NB ALASKA,0,20200331
114457,FIRST NAT BK & TR ELK CITY OK,2293507,20200331
114774,ABBEVILLE B&L ST CHARTERED SVG,0,20200331
114840,FIRST ST BK,1096448,20200331
114859,FIRST BK&TC,2850432,20200331
115146,SAINT ANSGAR ST BK,1208728,20200331
115575,COASTAL HERITAGE BK,3398315,20200331
116068,STATE BK OF INDIA LA AGY,0,20200331
116358,STATE BK OF COLD SPRING,1128200,20200331
116554,FIRST ST BK,4349837,20200331
116741,UNITED B&TC,1209529,20200331
117038,HNB FIRST BK,2081834,20200331
117074,COLONIAL FSB,0,20200331
117458,BANKFIRST,2834076,20200331
117775,SOUTHERN BK CO,2496193,20200331
118156,SECURITY B&TC,0,20200331
118660,HOME BK OF CA,0,20200331
118736,BANK OF YAZOO CITY,1083402,20200331
119153,SECURITY NB,1064504,20200331
119528,FARMERS NB,1480944,20200331
119779,CAPE COD CO-OP BK,3444801,20200331
119872,FIRST SEACOAST BK,5371479,20200331
120476,ARGENTINE FED SVG,0,20200331
120542,STATE BK OF CHILTON,1133820,20200331
120609,THOMASTON SVG BK,0,20200331
120953,FARMERS ST BK,1122897,20200331
121642,BANKPLUS,1097306,20200331
121651,JONESBORO ST BK,5211708,20200331
121914,COMMUNITY ST BK OF ORBISONIA,1248854,20200331
122153,JACKSON PARISH BK,1131705,20200331
122546,FIRST NB OF SANDOVAL,1139523,20200331
122854,INDEPENDENT BK,3140288,20200331
123075,MILTON SVG BK,0,20200331
123374,BEAUREGARD FSB,3841839,20200331
124344,BANK OF SUN PRAIRIE,3808113,20200331
124830,BANK OF CAMILLA,2087939,20200331
125154,FSNB NA,4208961,20200331
125471,STERLING NB,3083291,20200331
125855,SABINE ST B&TC,1108042,20200331
125873,CLAY CTY SVG BK,3842863,20200331
125958,LORRAINE ST BK,1062797,20200331
126012,CHAMPLAIN NB,1138955,20200331
126049,CONNECT BK,1131723,20200331
126375,VIDALIA FSB,0,20200331
126553,NORTH SHORE BK OF COMMERCE,1136540,20200331
126834,CITIZENS BK,0,20200331
127055,WESTERN NB,3271267,20200331
127224,FIRST UNITED NB,2687601,20200331
128258,WESTERN DAKOTA BK,2351359,20200331
128904,EASTERN BK,1427239,20200331
129349,FIRST NB OF STEELEVILLE,1099627,20200331
129358,VALOR BK,1056723,20200331
129479,WHEATLAND BK,2723938,20200331
129732,BYLINE BK,1204627,20200331
129853,COMMERCIAL ST BK OF WAGNER,1127182,20200331
129910,PEOPLES EXCH BK,1246944,20200331
130103,ARAB BKG CORP NY BR,0,20200331
130345,COMMUNITY ST BK,3195671,20200331
130541,HORIZON BK,1209136,20200331
130813,LIBERTY NB,1246579,20200331
131034,CITIZENS BK OF FL,2958347,20200331
131173,GUARANTY BK,2618940,20200331
131436,FIRST BK,2061162,20200331
131650,GREAT WESTERN BK,4809920,20200331
131717,FARMERS ST BK,1071539,20200331
131940,WALDO ST BK,0,20200331
132107,ANDROSCOGGIN SVG BK,2710796,20200331
132200,BANCO REPUBLICA ORIENTAL NY BR,0,20200331
132451,FIRST NB OF LOUISBURG,0,20200331
132554,MBANK,1123933,20200331
132778,HOMESTEAD SVG BK,0,20200331
132938,PLANTERS & CITIZENS BK,1081529,20200331
133579,BANK OF BENNINGTON,3846003,20200331
133850,FIRST CITIZENS NB,1098796,20200331
133971,LISLE SVG BK,0,20200331
134156,FIRST CENTRAL BK,1050495,20200331
134437,TROY B&TC,1080139,20200331
134455,TENSAS ST BK,1109487,20200331
134848,TEUTOPOLIS ST BK,1928615,20200331
135715,BANCO DE BOGOTA NY AGY,0,20200331
135836,SOUTH LAFOURCHE B&TC,1082236,20200331
135854,HEARTLAND ST BK,1123018,20200331
135902,BANCO DO BRASIL SA NY BR,0,20200331
136048,PEOPLES SVG BK,1210468,20200331
136338,MERCHANTS & FARMERS B&TC,1084203,20200331
136459,GATES BKG&TC,1135374,20200331
136655,LYNDON ST BK,1416617,20200331
137205,MACHIAS SVG BK,2728577,20200331
137447,FNB CMNTY BK,1099654,20200331
137456,BANK OF BEAVER CITY,1066263,20200331
137559,FARMERS NB,0,20200331
137643,WEST IA BK,1916760,20200331
137652,UNIVERSITY BK,1496253,20200331
137915,EMIGRANT BK,3212091,20200331
138051,FARMERS ST BK OF ALICEVILLE KS,0,20200331
138257,FIRST NB,5325212,20200331
138556,HOME BKG CO,2525048,20200331
139133,AMERIFIRST BK,2685577,20200331
139218,KBC BANK NV NY BR,0,20200331
139478,HARLEYSVILLE BK,2861492,20200331
139553,MABREY BK,2052777,20200331
139656,EQUITY BK,3180547,20200331
139740,WEST BK,1210066,20200331
139834,CITIZENS ST BK,1142318,20200331
139843,FIRST FARMERS B&TC,1249039,20200331
139955,MAINSTREET BK,1056170,20200331
140139,SOCIETE GENERALE CHICAGO BR,0,20200331
140157,HOMESTEAD BK,1055696,20200331
140362,SUNWEST BK,2453084,20200331
140634,FIRST ST BK OF RANDOLPH CTY,0,20200331
141211,MUNCY B&TC,1364035,20200331
141341,BANK OF CARBONDALE,1096774,20200331
141350,FIRST ST BK,0,20200331
141556,STEARNS BK NA,2295837,20200331
141677,FIRST S&LA,0,20200331
141958,BANK OF GLEASON,1098808,20200331
142049,BANK 1ST,1204092,20200331
142179,STREATOR HOME SVGS BK,0,20200331
142955,SPIRITBANK,1062135,20200331
143372,PROGRESSIVE OZARK BK,3832846,20200331
143662,UMPQUA BK,2747644,20200331
143859,FARMERS ST BK,4261005,20200331
143952,FIRST BK BALDWIN,1128639,20200331
144034,BANK OF CLEVELAND,1399774,20200331
144052,EXCHANGE B&TC,1054000,20200331
144155,STERLING ST BK,1123410,20200331
144315,P T BK NEGARA INDO PER NY AGY,0,20200331
144678,FIRST FS&LA OF LORAIN,0,20200331
144856,FIRST ST B&T,2387152,20200331
144913,NEFFS NB,1140097,20200331
145059,BANK OF HALLS,1135374,20200331
145545,FIRST NB OF WATERLOO,1135404,20200331
145554,FIRST NB&TC OF BROKEN ARROW,1062050,20200331
145741,FARMERS & MRCH ST BK,1245321,20200331
145750,STATE BK OF BELLE PLAINE,1128460,20200331
145844,FOUNTAIN TC,3033045,20200331
146056,ALLNATIONS BK,3176559,20200331
146663,SAVINGS BK OF MENDOCINO CTY,0,20200331
146672,FLAGSTAR BK FSB,4224000,20200331
147651,COMMUNITY ST BK,1137293,20200331
147679,GLEN ROCK SVG BK,0,20200331
147857,FIRST BK BLUE EARTH,1143548,20200331
147923,BANK OF OCEAN CITY,0,20200331
148171,GOLDEN BELT BK FSA,3835230,20200331
148238,PEOPLES BK,4262525,20200331
148340,UNION ST BK,1204252,20200331
148470,1ST BK OF SEA ISLE CITY,3848427,20200331
148715,PBK BK,1134283,20200331
148809,RSI BK,2702232,20200331
148920,REPUBLIC BKG CO,0,20200331
149150,CITIZENS ST BK,3559862,20200331
